Grupo de idade;Estado;2012;2013;2014;2015;2016;2017;2018;2019;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 anos ou mais;Alagoas;2,3;2,7;2,2;1,9;3,2;1,4;2;2,1;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 anos ou mais;Amapá;0;0,5;0;1,7;2,1;4,2;2,7;2,3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 anos ou mais;Amazonas;0,8;1;0,9;1,1;3,9;4,5;3,4;2,4;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 anos ou mais;Bahia;3,1;2,3;3;2,6;5,9;4,4;5,3;5,6;8,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 anos ou mais;Ceará;1,5;2,3;1,1;1,2;1,4;1,9;1,8;3,4;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 anos ou mais;Distrito Federal;1;1,7;1,4;2;3,2;2,1;3;5,5;5,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 anos ou mais;Espírito Santo;1,3;2,1;1,8;3,3;4,7;4,7;4,8;2,8;5,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 anos ou mais;Goiás;2,3;1,5;0,9;2,2;3;2,4;1,1;4,3;4,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 anos ou mais;Maranhão;1,1;1;0,8;1,5;2,3;2,2;3,3;3,4;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 anos ou mais;Mato Grosso do Sul;1,1;1,7;0,8;2,3;3,8;2,2;2;3,5;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 anos ou mais;Mato Grosso;1,4;0,9;1,2;1,6;5;2,4;4,5;1,2;3,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 anos ou mais;Minas Gerais;2,3;1,5;2,3;3,4;4,5;4,9;3,5;4;4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 anos ou mais;Pará;1,1;1,2;1;1,2;2;2,5;1,8;2,7;3,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 anos ou mais;Paraíba;1,3;3,4;1,2;2;1,2;1,1;2,4;2,2;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 anos ou mais;Paraná;1,7;1,5;1;2,1;3,2;2,7;2,3;4,1;2,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 anos ou mais;Pernambuco;0,7;1,7;1,5;2,8;2,7;5,2;3,5;4,1;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 anos ou mais;Piauí;0,3;0,7;0,6;2,4;1,7;6;3,2;4,7;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 anos ou mais;Rio de Janeiro;3;1,5;1,8;2,1;4,2;6,6;5,3;6,3;5,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 anos ou mais;Rio Grande do Norte;5,9;0;0,5;0,8;3,2;2,6;3,5;3,5;6,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 anos ou mais;Rio Grande do Sul;1,9;1,4;2,3;1,5;1,4;2,3;3,5;2,4;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 anos ou mais;Rondônia;0,9;1;0,3;1,8;1,6;3;4,7;0,6;1,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 anos ou mais;Roraima;0,9;0,9;0,3;1,9;5,6;3,2;6,8;2,2;5,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 anos ou mais;Santa Catarina;0,7;0,7;0,8;0,5;1,6;1,3;3,3;2,3;2,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 anos ou mais;Sergipe;1,2;1,2;1,7;3,1;4;3,6;2,6;3,4;5,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 anos ou mais;São Paulo;2,1;1,6;3,2;3,7;3,6;5,6;5,3;4,8;4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60 anos ou mais;Tocantins;4,2;0,4;1,4;1,2;5,4;2,9;3,6;3,4;5,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;Acre;8,1;6,9;6,2;7,7;11,7;12,2;13,1;13,6;13,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;Alagoas;11;9,3;9,4;11,3;14,8;15,5;15,9;13,6;16,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;Amapá;11,8;9,2;9,5;12,7;16,8;18,7;19,6;15,6;17,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;Amazonas;8,4;7,6;7,7;9,1;14,8;13,5;14,4;12,9;14,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;Bahia;10,8;9;9,7;12,2;16,6;15;17,4;16,4;18,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;Ceará;7,5;6,9;6,6;9;12,4;11,1;10,1;10,1;12,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;Distrito Federal;8,8;8,4;8,7;9,7;13,9;13,2;12,1;12,5;13,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;Espírito Santo;6,7;5,9;6,1;9,1;13,6;11,6;10,2;10,3;11,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;Goiás;5,1;4;5;7,7;11,2;9,4;8,2;10,4;11,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;Maranhão;7,5;5,5;7;8,2;12,9;13,3;14;12,1;16,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;Mato Grosso do Sul;5;4,5;3,8;5,9;8,2;7,3;7;6,5;7,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;Mato Grosso;4,6;3,7;4;5,7;9,5;7,3;6,9;6,4;8,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;Minas Gerais;6,2;5,7;6,2;9,3;11,1;10,6;9,7;9,5;11,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;Pará;6,8;6;7;8,6;12,7;10,7;10,2;9,2;10,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;Paraíba;9;8,4;8,1;9,5;11,9;10,1;11;12,1;13,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;Paraná;4,3;3,7;3,7;5,8;8,1;8,3;7,8;7,3;7,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;Pernambuco;9,2;7,3;7,6;11;15,6;16,8;15,5;14;14,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;Piauí;6,9;6,9;5,9;7,2;8,8;13,3;12,3;13;13,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;Rio de Janeiro;6,8;6,2;5,8;8,5;13,4;15,1;14,8;13,7;14,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;Rio Grande do Norte;11,5;9,8;10,4;12,2;14,7;12,3;13,4;12,6;15,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;Rio Grande do Sul;4,3;4,6;4,5;6,5;8,3;8;7,4;7,1;8,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;Rondônia;5,3;4,9;3,6;6,3;7,9;7,7;9;8;8,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;Roraima;8,4;6,6;6,3;8,1;9,2;9,4;14;14,8;16,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;Santa Catarina;2,7;2,5;2,7;4,2;6,2;6,3;6,4;5,3;5,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;Sergipe;9,5;8,7;8,9;9,9;15;13,4;15;14,8;15,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;São Paulo;6,8;6,5;7,1;10,1;12,4;12,7;12,4;11,5;12,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;Tocantins;7,6;6,4;6,3;9;13,1;10,5;10,4;9,1;11,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
